Drug,Class
Unasyn,Beta-lactamase inhibitors
Nadolol and Bendroflumethiazide,Antihypertensive
Uniphyl,Methylxanthines
Uniretic,ACE inhibitors with thiazides
Unithroid,Thyroid drugs
Unituxin,Miscellaneous antineoplastics
Univasc,Angiotensin Converting Enzyme Inhibitors
Unoprostone,"Docosanoid, Synthetic"
Isotretinoin," Skin and Mucous Membrane Agents, Miscellaneous"
Isatuximab-irfc, Antineoplastic Agents
Isavuconazonium, Azoles
Isentress,Integrase strand transfer inhibitor
Penicillin V, Natural Penicillins
Isibloom,Contraceptives
Ismelin,"Antiadrenergic agents, peripherally acting"
Ismo,Antianginal agents
IsoDitrate,Antianginal agents
Isocarboxazid,"Antidepressant, Monoamine Oxidase Inhibitor"
Isosorbide Dinitrate,Antianginal agents
"Acetaminophen, Isometheptene, and Dichloralphenazone","Analgesic, Nonopioid"
IsonaRif,Antituberculosis combinations
Isopropyl Alcohol Swabs,Antiseptic and germicides
Isoptin SR,Calcium channel blocking agents
Nystatin (Oral),"Antifungal Agent, Oral Nonabsorbed/Partially Absorbed"
Carbachol, Miotics
Isopto Carpine Ophthalmic Solution,Ophthalmic glaucoma agents
Isordil,Antianginal agents
Isordil Titradose,Antianginal agents
Isosorbide Dinitrate and Hydralazine,Antihypertensive
Isosulfan Blue Injection,Lymphatic staining agents
Isovue 200,Non-ionic iodinated contrast media
Isovue 250,Non-ionic iodinated contrast media
Isovue 300,Non-ionic iodinated contrast media
Isoxsuprine Hydrochloride,Peripheral vasodilators
Nystatin, Polyenes
Isoxsuprine,Vasodilator
Isradipine, Dihydropyridines
Istalol,Ophthalmic glaucoma agents
Istodax,Histone deacetylase inhibitors
Istradefylline," Central Nervous System Agents, Miscellaneous"
Isturisa,Adrenal corticosteroid inhibitors
Isuprel,Adrenergic bronchodilators
Qinlock,Multikinase inhibitors
Kedbumin,Plasma expanders
Kedrab,Immune globulins
Nafarelin, Gonadotropins
Keflex,First generation cephalosporins
Kelnor 1/35,Contraceptives
Procyclidine, Anticholinergic Agents
Kenalog-10,Glucocorticoids
Kenalog-40,Glucocorticoids
Kengreal,Platelet aggregation inhibitors
Kepivance,Miscellaneous uncategorized agents
Keppra,Pyrrolidine anticonvulsants
Keppra-XR,Pyrrolidine anticonvulsants
Kerafoam 42,Topical emollients
Nafcillin, Penicillinase-resistant Penicillins
Kerafoam,Topical emollients
Keralac,Topical emollients
Keralyt,Topical acne agents
Keratol 45 Nail Gel,Topical emollients
Keratol 45 Cream,Topical emollients
Kerendia,Aldosterone receptor antagonists
Kerlone,Cardioselective beta blockers
Kerydin,Topical antifungals
Kesimpta,CD20 monoclonal antibodies
Ketalar,General anesthetics
Physostigmine, Parasympathomimetic (Cholinergic) Agents
Naftifine, Allylamines
Ketamine, General Anesthetics
Ketek,Ketolides
Ketoconazole (Systemic), Azoles
Ketodan Foam,Topical antifungals
Keveyis,Carbonic anhydrase inhibitors
Kevzara,Antirheumatics
Keytruda,Anti-PD-1 monoclonal antibodies
FUDR,Antimetabolites
Fulphila Injection,Colony stimulating factors
Pegfilgrastim, Hematopoietic Agents
Naftin,Topical antifungals
Fulvestrant, Antineoplastic Agents
Fulyzaq Tablets,Antidiarrheals
Fungizone,Polyenes
Furadantin,Urinary anti-infectives
Fusilev,Antidotes
Fuzeon,Miscellaneous antivirals
Qsymia,Anorexiants
Grass Pollen Allergen Extract (5 Grass Extract),Allergen-Specific Immunotherapy
HYDROXYprogesterone, Progestins
Hyaluronate and Derivatives,Antirheumatic Miscellaneous
Naglazyme,Lysosomal enzymes
Hyaluronidase,"Antidote, Extravasation"
"Pertuzumab, Trastuzumab, and Hyaluronidase-zzxf", Antineoplastic Agents
Hycamtin,Miscellaneous antineoplastics
Hycet,Narcotic analgesic combinations
Hycodan,Upper respiratory combinations
Hycofenix,Upper respiratory combinations
Hydase Injection,Miscellaneous uncategorized agents
Hydergine,Miscellaneous central nervous system agents
Hydrea,Antimetabolites
Hydro 35 Foam,Topical emollients
Biotin,"Biotinidase Deficiency, Treatment Agent"
Candesartan and Hydrochlorothiazide,Angiotensin II Receptor Blocker
Captopril and Hydrochlorothiazide,Angiotensin-Converting Enzyme (ACE) Inhibitor
Hydromet,Upper respiratory combinations
HYDROmorphone, Opiate Agonists
Hydroxocobalamin,Antidote
Hydroxyamphetamine and Tropicamide,"Adrenergic Agonist Agent, Ophthalmic"
Hydroxychloroquine, Antimalarials
Belladonna Alkaloids with Phenobarbital,Anticholinergics / antispasmodics
Hyosyne Elixir,Anticholinergics / antispasmodics
Hyosyne,Anticholinergics / antispasmodics
Nalbuphine, Opiate Partial Agonists
Hyperrab,Immune globulins
HyperRHO S/D Full Dose,Immune globulins
HyperRHO S/D Mini Dose,Immune globulins
Hypertet S/D,Immune globulins
Hypercare,Miscellaneous topical agents
HyperHEP B S/D,Immune globulins
Hyqvia,Immune globulins
Hysingla ER,Narcotic analgesics
Hytone,Topical steroids
Hytrin,"Antiadrenergic agents, peripherally acting"
Naldemedine," GI Drugs, Miscellaneous"
Hyzaar,Angiotensin II inhibitors with thiazides
Kabiven,Intravenous nutritional products
Kadcyla,HER2 inhibitors
Kadian,Narcotic analgesics
Kaitlib Fe,Contraceptives
Kalbitor,Hereditary angioedema agents
Kaletra,Protease inhibitors
Kalexate Powder,Cation exchange resins
Kalliga,Contraceptives
Calcipotriene," Skin and Mucous Membrane Agents, Miscellaneous"
Nalfon,Nonsteroidal anti-inflammatory drugs
Kalydeco,CFTR potentiators
Kanamycin,Aminoglycosides
Kantrex,Aminoglycosides
Kanuma,Lysosomal enzymes
Kapidex,Proton pump inhibitors
Kapvay,"Antiadrenergic agents, centrally acting"
Karbinal ER,Antihistamines
Kariva,Contraceptives
Katerzia Oral Suspension,Calcium channel blocking agents
Nalocet,Narcotic analgesic combinations
Kayexalate,Cation exchange resins
Kazano,Antidiabetic combinations
Pulmicort,Inhaled corticosteroids
Pulmicort Flexhaler,Inhaled corticosteroids
Pulmozyme,Miscellaneous respiratory agents
Purinethol,Antimetabolites
Cabazitaxel, Antineoplastic Agents
Cabenuva,Antiviral combinations
Cabergoline, Ergot-derivative Dopamine Receptor Agonists
Naloxegol," GI Drugs, Miscellaneous"
Cablivi,Platelet aggregation inhibitors
Cabometyx,Multikinase inhibitors
Cabozantinib, Antineoplastic Agents
Caduet,Antihyperlipidemic combinations
Cafcit,CNS stimulants
Cafergot,Antimigraine agents
Caffeine/Caffeine and Sodium Benzoate, Respiratory and CNS Stimulants
Calan,Calcium channel blocking agents
Calan SR,Calcium channel blocking agents
Calaspargase Pegol-mknl, Antineoplastic Agents
Naloxone, Opiate Antagonists
Calcifediol, Vitamin D
Calcitriol, Vitamin D
Calcipotriene and Betamethasone Ointment,Topical antipsoriatics
Calcitonin, Antiparathyroid Agents
Calcitrene,Topical antipsoriatics
Calcitriol (Topical),Vitamin D Analog
Calcium Acetate,Antidote
Calcium Chloride,Calcium Salt
Calcium Disodium Versenate,Antidotes
Calcium Gluconate,Calcium Salt
Phytonadione, Vitamin K Activity
Pentazocine and Naloxone,"Analgesic, Opioid"
Polymethylmethacrylate,"Cosmetic Agent, Implant"
Calcium Carbonate,Antacid
"Famotidine, Calcium Carbonate, and Magnesium Hydroxide",Antacid
Calcium Citrate,Calcium Salt
Calcium Lactate,Calcium Salt
"Oxybate Salts (Calcium, Magnesium, Potassium, and Sodium)",Central Nervous System Depressant
Caldolor,Nonsteroidal anti-inflammatory drugs
Calfactant,Lung Surfactant
Calomist,Vitamins
Calcium Acetate Tablets,Minerals and electrolytes
Naltrexone, Opiate Antagonists
Calquence,BTK inhibitors
Cambia,Nonsteroidal anti-inflammatory drugs
Camila,Contraceptives
Campath,CD52 monoclonal antibodies
Campral,Drugs used in alcohol dependence
Camptosar,Miscellaneous antineoplastics
Camrese,Contraceptives
Camrese Lo,Contraceptives
Canagliflozin, Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors
Canagliflozin and Metformin,"Antidiabetic Agent, Biguanide"
Naltrexone And Bupropion," Anorexigenic Agents, Miscellaneous"
Canakinumab, Other Miscellaneous Therapeutic Agents
Canasa,5-aminosalicylates
Cancidas,Echinocandins
Candesartan, Angiotensin II Receptor Antagonists
Cangrelor, Platelet-aggregation Inhibitors
Cannabidiol," Anticonvulsants, Miscellaneous"
Cantil,Anticholinergics / antispasmodics
Capacet,Analgesic combinations
Capreomycin, Antituberculosis Agents
Capecitabine, Antineoplastic Agents
Namenda,Miscellaneous central nervous system agents
Capex Shampoo,Topical steroids
Capitrol,Topical anti-infectives
Caplacizumab-yhdp," Antithrombotic Agents, Miscellaneous"
Caplyta,Atypical antipsychotics
Capmatinib, Antineoplastic Agents
Capoten,Angiotensin Converting Enzyme Inhibitors
Captopril and Hydrochlorothiazide,ACE inhibitors with thiazides
Caprelsa,EGFR inhibitors
Captopril, Angiotensin-Converting Enzyme Inhibitors
Carac,Topical antineoplastics
Namenda XR,Miscellaneous central nervous system agents
Carafate,Miscellaneous GI agents
Carbaglu,Miscellaneous uncategorized agents
Carbatrol,Dibenzazepine anticonvulsants
Carbidopa,"Anti-Parkinson Agent, Decarboxylase Inhibitor"
"Levodopa, Carbidopa, and Entacapone","Anti-Parkinson Agent, COMT Inhibitor"
Carbocaine,Local injectable anesthetics
Carboplatin, Antineoplastic Agents
Carboprost, Oxytocics
Cardene,Calcium channel blocking agents
Cardene Injection,Calcium channel blocking agents
Memantine," Central Nervous System Agents, Miscellaneous"
Cardene SR,Calcium channel blocking agents
Cardiogen-82,Diagnostic radiopharmaceuticals
Technetium TC 99M Sestamibi,Radiologic conjugating agents
Cardizem,Calcium channel blocking agents
Cardizem CD,Calcium channel blocking agents
Cardizem LA,Calcium channel blocking agents
Cardura,"Antiadrenergic agents, peripherally acting"
Cardura XL,"Antiadrenergic agents, peripherally acting"
Topcare Complete Acid Reducer plus Antacid,H2 antagonists
Namzaric,Cholinesterase inhibitors
Carfilzomib, Antineoplastic Agents
Carglumic Acid, Ammonia Detoxicants
Carimune NF,Immune globulins
Cariprazine, Atypical Antipsychotics
Carisoprodol and Aspirin,Skeletal Muscle Relaxant
Carmustine, Antineoplastic Agents
Carnexiv,Dibenzazepine anticonvulsants
Carnitor Injection,Nutraceutical products
Carnitor Oral Solution,Nutraceutical products
Carteolol (Ophthalmic),"Ophthalmic Agent, Antiglaucoma"
Memantine and Donepezil,Acetylcholinesterase Inhibitor (Central)
Cartia XT,Calcium channel blocking agents
Carvedilol, beta-Adrenergic Blocking Agents
Casirivimab and Imdevimab, Monoclonal Antibodies
Casodex,Antiandrogens
Caspofungin, Echinocandins
Casporyn HC Ear Drops,Otic steroids with anti-infectives
Cataflam,Nonsteroidal anti-inflammatory drugs
Catapres,"Antiadrenergic agents, centrally acting"
Catapres-TTS,"Antiadrenergic agents, centrally acting"
Cathflo Activase,Thrombolytics
Naphcon,Ophthalmic antihistamines and decongestants
CaverJect,Impotence agents
Cayston,Miscellaneous antibiotics
Caziant,Contraceptives
Abacavir, HIV Nucleoside and Nucleotide Reverse Transcriptase Inhibitors
Abacavir and Lamivudine,"Antiretroviral, Reverse Transcriptase Inhibitor, Nucleoside (Anti-HIV)"
"Abacavir, Lamivudine, and Zidovudine","Antiretroviral, Reverse Transcriptase Inhibitor, Nucleoside (Anti-HIV)"
"Abacavir, Dolutegravir, and Lamivudine","Antiretroviral, Integrase Inhibitor (Anti-HIV)"
Abaloparatide, Parathyroid Agents
Abametapir,"Antiparasitic Agent, Topical"
Abatacept, Disease-modifying Antirheumatic Drugs
Naphcon A,Ophthalmic antihistamines and decongestants
Abciximab, Platelet-aggregation Inhibitors
Abecma,Miscellaneous antineoplastics
Abelcet,Polyenes
Abemaciclib, Antineoplastic Agents
Abilify,Atypical antipsychotics
Abilify Maintena,Atypical antipsychotics
Abilify Mycite,Atypical antipsychotics
Abiraterone, Antineoplastic Agents
AbobotulinumtoxinA, Other Miscellaneous Therapeutic Agents
Absorica,Miscellaneous uncategorized agents
Olanzapine, Atypical Antipsychotics
Naprelan,Nonsteroidal anti-inflammatory drugs
Abstral Sublingual Tablet,Narcotic analgesics
Gianvi,Contraceptives
Giapreza,Vasopressors
Giazo Tablets,5-aminosalicylates
Gildess 1.5/30,Contraceptives
Gilenya,Selective immunosuppressants
Gilotrif,Multikinase inhibitors
Gilteritinib, Antineoplastic Agents
Gimoti,GI stimulants
Givlaari,Miscellaneous metabolic agents
Naproxen, Other Nonsteroidal Anti-inflammatory Agents
Givosiran, Other Miscellaneous Therapeutic Agents
Cialis,Impotence agents
Ciclesonide (EENT), Corticosteroids
"Ciclesonide (Systemic, Oral Inhalation)", Adrenals
Cidofovir, Nucleosides and Nucleotides
Cilostazol, Platelet-aggregation Inhibitors
Ciloxan,Ophthalmic anti-infectives
Cimduo,Antiviral combinations
Cimzia,TNF alfa inhibitors
Naprosyn,Nonsteroidal anti-inflammatory drugs
Cinacalcet, Antiparathyroid Agents
Cinqair,Interleukin inhibitors
Cinryze,Hereditary angioedema agents
Cinvanti,NK1 receptor antagonists
Cipro,Quinolones
Cipro HC Otic,Otic steroids with anti-infectives
Ciprofloxacin, Quinolones
Ciprodex,Otic steroids with anti-infectives
Ciprofloxacin (Otic),"Antibiotic, Fluoroquinolone"
Ciprofloxacin (Ophthalmic),"Antibiotic, Fluoroquinolone"
Naproxen and Esomeprazole,"Analgesic, Nonopioid"
Ciprofloxacin and Dexamethasone,"Antibiotic, Otic"
Ciprofloxacin and Fluocinolone,"Antibiotic, Fluoroquinolone"
Ciprofloxacin and Hydrocortisone,"Antibiotic, Otic"
Cisatracurium, Neuromuscular Blocking Agents
Cisplatin, Antineoplastic Agents
Citalopram, Selective Serotonin-reuptake Inhibitors
Magnesium Citrate Liquid,Laxatives
"Citric Acid, Sodium Citrate, and Potassium Citrate",Alkalinizing Agent
Citrucel,Laxatives
Ryclora,Antihistamines
Naratriptan, Selective Serotonin Agonists
Ryanodex,Skeletal muscle relaxants
Rybelsus,Incretin mimetics
Rybix ODT,Narcotic analgesics
Rybrevant Injection,Miscellaneous antineoplastics
Rydapt,Multikinase inhibitors
Rylaze,Miscellaneous antineoplastics
Rynatan Pediatric Suspension,Upper respiratory combinations
Rynatan Chewable Pediatric Tablets,Upper respiratory combinations
Rytary,Dopaminergic antiparkinsonism agents
Narcan,Antidotes
Rythmol,Group I antiarrhythmics
Rythmol SR,Group I antiarrhythmics
Rythmol Extended Release,Group I antiarrhythmics
Ryvent,Antihistamines
Ryzolt,Narcotic analgesics
Stadol,Narcotic analgesics
Stagesic,Narcotic analgesic combinations
"Carbidopa, Levodopa and Entacapone Tablets",Dopaminergic antiparkinsonism agents
Stamaril,Viral vaccines
Starlix,Meglitinides
Nardil,Monoamine oxidase inhibitors
Staticin,Topical acne agents
Stavzor,Fatty acid derivative anticonvulsants
Staxyn,Impotence agents
Steglatro,SGLT-2 inhibitors
Steglujan,Antidiabetic combinations
Stelara,Interleukin inhibitors
Stendra,Impotence agents
Water for Irrigation (Sterile),Pharmaceutical Aid
Phenylephrine and Guaifenesin Drops,Upper respiratory combinations
Steritalc,Miscellaneous uncategorized agents
Stimate,Antidiuretic hormones
Stiolto Respimat,Bronchodilator combinations
Stiripentol," Anticonvulsants, Miscellaneous"
Stivarga,Multikinase inhibitors
Strattera,CNS stimulants
Strensiq,Miscellaneous metabolic agents
Streptomycin, Aminoglycosides
Streptozocin, Antineoplastic Agents
Naropin,Local injectable anesthetics
Striant,Androgens and anabolic steroids
Stribild,Antiviral combinations
Striverdi Respimat,Adrenergic bronchodilators
Stromectol,Anthelmintics
Strontium-89,Radiopharmaceutical
Strontium Chloride SR-89,Therapeutic radiopharmaceuticals
Berkley and Jensen Acid Controller Complete,H2 antagonists
Upadacitinib, Disease-modifying Antirheumatic Drugs
Uplizna,Selective immunosuppressants
Ropivacaine, Local Anesthetics
Uptravi,Agents for pulmonary hypertension
Jolessa,Contraceptives
Jolivette,Contraceptives
Jornay PM,CNS stimulants
EPIsnap,Adrenergic bronchodilators
Epaned,Angiotensin Converting Enzyme Inhibitors
Epanova,Nutraceutical products
Epclusa,Antiviral combinations
EpiPen,Adrenergic bronchodilators
Epiquin Micro,Topical depigmenting agents
Olanzapine and Fluoxetine,"Antidepressant, Selective Serotonin Reuptake Inhibitor"
Oxycodone and Acetaminophen Tablets,Narcotic analgesic combinations
Epidiolex Oral Solution,Miscellaneous anticonvulsants
Epiduo,Topical acne agents
Epinastine, Antiallergic Agents
Epitol,Dibenzazepine anticonvulsants
Epivir,Nucleoside reverse transcriptase inhibitors (NRTIs)
Epivir-HBV,Nucleoside reverse transcriptase inhibitors (NRTIs)
Eplerenone, Mineralocorticoid (Aldosterone) Receptor Antagonists
Epoetin Alfa, Hematopoietic Agents
Epogen,Recombinant human erythropoietins
Epoprostenol, Vasodilating Agents
Oxymetazoline (Nasal),Adrenergic Agonist Agent
Eprosartan, Angiotensin II Receptor Antagonists
Eprosartan and Hydrochlorothiazide,Angiotensin II Receptor Blocker
Eptifibatide, Platelet-aggregation Inhibitors
Eptinezumab-jjmr, Calcitonin Gene-related Peptide (CGRP) Antagonists
Epzicom,Antiviral combinations
AquaMEPHYTON,Anticoagulant reversal agents
Aquasol A,Vitamins
Ixabepilone, Antineoplastic Agents
Ixazomib Citrate, Antineoplastic Agents
Ixekizumab, Disease-modifying Antirheumatic Drugs
Nasacort,Nasal steroids
Ixempra,Mitotic inhibitors
Ixiaro,Viral vaccines
Ixinity,Miscellaneous coagulation modifiers
Krintafel,Antimalarial quinolines
Kristalose,Laxatives
Krystexxa,Antihyperuricemic agents
Wegovy,Incretin mimetics
Welchol,Bile acid sequestrants
Wellbutrin,Miscellaneous antidepressants
Nasacort AQ,Nasal steroids
Wellbutrin SR,Miscellaneous antidepressants
Wellbutrin XL,Miscellaneous antidepressants
Westcort,Topical steroids
EES,Macrolides
EEMT Tablets,Sex hormone combinations
Miacalcin,Calcitonin
Miacalcin Nasal Spray,Calcitonin
Micafungin, Echinocandins
Micardis,Angiotensin receptor blockers
Micardis HCT,Angiotensin II inhibitors with thiazides
Triamcinolone (EENT), Corticosteroids
Miconazole (Oral),"Antifungal Agent, Imidazole Derivative"
Miconazole and Zinc Oxide,"Antifungal Agent, Topical"
Microgestin 1/20,Contraceptives
Microgestin 24 Fe,Contraceptives
Micronase,Sulfonylureas
Microzide,Thiazide diuretics
Midamor,Potassium-sparing diuretics
Midostaurin, Antineoplastic Agents
Mifepristone, Oxytocics
Migalastat, Other Miscellaneous Therapeutic Agents
Flunisolide (EENT), Corticosteroids
Ergotamine and Caffeine,Antimigraine agents
Miglitol, alpha-Glucosidase Inhibitors
Miglustat, Other Miscellaneous Therapeutic Agents
Migranal,Antimigraine agents
Millipred,Glucocorticoids
Milnacipran, Fibromyalgia Agents
Miltefosine," Antiprotozoals, Miscellaneous"
Mimvey,Sex hormone combinations
Mineral Oil, Cathartics and Laxatives
Minipress,"Antiadrenergic agents, peripherally acting"
Nascobal,Vitamins
Minitran,Antianginal agents
Minivelle,Estrogens
Minocin,Tetracyclines
Minolira,Tetracyclines
Minoxidil (Systemic), Direct Vasodilators
Miostat,Ophthalmic glaucoma agents
Mipomersen," Antilipemic Agents, Miscellaneous"
MiraLAX,Laxatives
Mirabegron, Selective beta-3 Adrenergic Agonists
Mirapex,Dopaminergic antiparkinsonism agents
Pseudoephedrine, alpha- and beta-Adrenergic Agonists
Mirapex ER,Dopaminergic antiparkinsonism agents
Mircera,Recombinant human erythropoietins
Mircette,Contraceptives
Mirena,Contraceptives
Mirvaso,Topical anti-rosacea agents
Misoprostol, Prostaglandins
Mitigare,Antigout agents
Mitigo Injection,Narcotic analgesics
